id,decorate,link,built_time,price,name,square,total_price,location,direction,right,style,lift,stair
,精装,https://sz.lianjia.com/ershoufang/105101207493.html,1999年建/塔楼,34204元/平米,国展苑一期,73.97㎡,253,龙岗区?布吉关?,东南,商品房,2室1厅1厨1卫,有,高楼层 (共35层)
,简装,https://sz.lianjia.com/ershoufang/105100867568.html,2005年建/板塔结合,77512元/平米,天悦龙庭二期,92.89㎡,720,宝安区?宝安中心?,东南,商品房,3室1厅1厨1卫,有,低楼层 (共28层)
,其他,https://sz.lianjia.com/ershoufang/105101218230.html,2005年建/板塔结合,57698元/平米,金色年华家园,38.13㎡,220,罗湖区?莲塘?,南,商品房,1室1厅1厨1卫,有,中楼层 (共26层)
,精装,https://sz.lianjia.com/ershoufang/105101157835.html,2008年建/板塔结合,41794元/平米,珠江旭景佳园,105.28㎡,440,龙岗区?坂田?,南,商品房,3室2厅1厨2卫,有,中楼层 (共23层)
,简装,https://sz.lianjia.com/ershoufang/105101018109.html,2004年建/板塔结合,53452元/平米,碧海名园,75.77㎡,405,宝安区?西乡?,东北,商品房,3室2厅1厨1卫,暂无数据,中楼层 (共6层)
,精装,https://sz.lianjia.com/ershoufang/105100625053.html,2012年建/塔楼,53353元/平米,星河时代,89.78㎡,479,龙岗区?大运新城?,东,商品房,3室2厅1厨2卫,有,中楼层 (共33层)
,精装,https://sz.lianjia.com/ershoufang/105100764190.html,2007年建/板塔结合,94979元/平米,东方园博苑,84.23㎡,800,福田区?竹子林?,南,商品房,2室2厅1厨1卫,有,高楼层 (共30层)
,其他,https://sz.lianjia.com/ershoufang/105101111529.html,2007年建/板塔结合,38914元/平米,东方明珠城,62.96㎡,245,龙岗区?龙岗中心城?,北,商品房,2室1厅1厨1卫,有,低楼层 (共32层)
,简装,https://sz.lianjia.com/ershoufang/105100917819.html,2010年建/塔楼,73034元/平米,莱蒙水榭春天二期,89㎡,650,龙华区?深圳北站?,东南,商品房,3室2厅1厨2卫,有,中楼层 (共33层)
,简装,https://sz.lianjia.com/ershoufang/105101073562.html,2005年建/板塔结合,56984元/平米,福兴花园,89.5㎡,510,福田区?梅林?,东南,商品房,3室2厅1厨1卫,有,中楼层 (共18层)
,简装,https://sz.lianjia.com/ershoufang/105101000429.html,1997年建/板楼,47680元/平米,龙联花园,78.65㎡,375,南山区?西丽?,南 北,商品房,2室1厅1厨1卫,暂无数据,高楼层 (共7层)
,精装,https://sz.lianjia.com/ershoufang/105101179607.html,1992年建/板塔结合,69996元/平米,海景花园,117.15㎡,820,南山区?华侨城?,南,商品房,3室2厅1厨2卫,有,中楼层 (共32层)
